label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__25-34,0,3,1,0,2,0,0,0,0,0,0,0,2
__label__35-44,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__25-34,0,3,2,0,2,0,0,1,0,0,0,2,1
__label__18-24,0,2,1,0,0,0,0,0,0,0,0,0,0
__label__45-54,0,1,0,0,0,1,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,0,1,0,0,0,0,0,0,1
__label__25-34,0,0,1,0,1,0,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,0,1,0,0,0,0,1,0,1
__label__45-54,0,0,0,0,0,0,0,0,0,0,0,1,1
__label__25-34,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,1,1,0,0,0,0,2,1,1
__label__45-54,0,3,1,0,2,0,0,0,0,0,0,0,4
__label__45-54,0,0,1,0,0,0,0,0,0,0,0,1,1
__label__35-44,0,3,0,0,1,1,0,1,0,1,0,0,1
__label__45-54,1,1,0,0,0,0,0,0,0,0,0,0,0
__label__35-44,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__55+,0,0,0,1,0,0,0,0,0,0,0,0,3
__label__18-24,0,1,2,0,1,0,0,0,0,0,0,0,0
__label__18-24,0,0,0,1,0,1,0,0,0,0,0,1,0
__label__35-44,0,1,3,0,0,0,0,0,0,1,0,0,1
__label__18-24,0,1,1,0,1,3,1,0,0,0,0,1,7
__label__55+,0,3,0,0,0,0,0,0,0,0,0,0,1
__label__18-24,0,1,0,0,0,0,0,0,0,0,0,0,2
__label__18-24,0,19,6,6,8,28,0,0,0,0,0,7,8
__label__55+,1,1,1,0,1,1,0,0,0,0,0,1,4
__label__25-34,0,0,0,1,0,0,0,0,0,0,1,0,0
__label__25-34,0,1,0,0,0,1,0,0,0,4,0,0,1
__label__25-34,28,2,9,0,3,0,0,2,12,4,0,0,15
__label__18-24,6,27,8,3,7,17,1,2,0,2,4,3,41
__label__35-44,0,1,1,0,2,0,0,0,0,0,0,5,1
__label__45-54,0,3,1,0,1,0,0,1,0,3,0,0,0
__label__18-24,0,10,3,0,1,0,0,0,0,0,0,0,1
__label__25-34,0,25,7,7,7,1,0,6,0,1,1,0,3
__label__25-34,3,6,1,0,0,2,0,1,0,0,0,1,11
__label__35-44,0,2,4,1,3,0,1,1,0,0,0,1,6
__label__25-34,5,88,33,7,12,15,2,4,7,2,9,4,83
__label__25-34,0,0,2,1,0,0,0,0,0,0,0,1,0
__label__55+,0,0,0,2,0,0,0,1,0,2,0,0,1
__label__18-24,0,4,7,5,1,16,0,0,2,0,0,0,14
__label__35-44,0,3,0,0,0,0,0,0,0,0,0,0,0
__label__35-44,0,6,1,2,0,0,0,1,0,0,0,0,8
__label__45-54,0,2,1,0,2,1,0,0,0,0,1,0,1
__label__35-44,0,15,10,2,5,0,0,0,1,3,4,0,18
__label__55+,0,0,3,0,1,0,0,0,0,0,0,0,0
__label__25-34,0,1,0,0,1,0,0,0,0,0,0,0,0
__label__18-24,0,0,1,0,3,0,1,1,0,0,0,0,4
__label__55+,0,1,0,0,0,0,0,1,0,0,0,0,3
__label__35-44,0,0,1,0,0,0,0,0,0,0,0,0,1
__label__18-24,0,4,0,1,2,0,0,0,0,0,0,1,2
__label__25-34,0,44,14,16,9,0,1,1,0,0,1,1,23
__label__25-34,0,2,2,0,0,1,0,0,0,0,0,3,0
__label__45-54,0,1,0,0,0,0,0,0,0,0,0,0,1
__label__45-54,0,0,0,0,2,0,0,0,0,0,0,0,1
__label__18-24,0,1,1,0,0,0,0,0,0,0,0,0,0
__label__25-34,1,0,0,1,0,1,0,2,0,0,0,0,0
__label__18-24,0,14,4,2,0,0,0,0,0,0,0,0,2
__label__35-44,2,2,0,0,2,1,0,1,0,1,1,0,0
__label__25-34,0,1,5,0,0,1,0,0,0,0,0,1,1
__label__25-34,9,17,1,2,0,0,0,0,0,1,0,0,3
__label__18-24,0,8,3,0,2,0,0,0,0,2,1,0,3
__label__55+,0,1,0,0,0,1,0,0,0,0,0,0,0
__label__35-44,0,1,0,0,0,0,0,1,0,0,0,0,0
__label__18-24,1,4,6,3,2,3,1,0,3,0,0,4,13
__label__18-24,0,5,3,0,0,1,0,0,1,0,0,1,1
__label__25-34,0,3,0,1,0,0,0,0,0,0,0,1,0
__label__18-24,0,12,7,23,1,10,2,0,2,9,3,7,31
__label__35-44,0,5,3,1,1,0,0,0,0,1,0,0,3
__label__35-44,0,4,2,2,1,0,0,1,0,2,1,0,6
__label__35-44,1,48,33,19,6,6,0,4,0,6,8,1,31
__label__18-24,0,21,2,0,5,1,0,1,0,0,0,1,10
__label__18-24,3,0,1,0,0,0,0,0,0,0,0,0,3
__label__35-44,0,5,1,0,1,0,0,0,0,0,1,0,0
__label__45-54,1,0,4,0,0,1,0,0,0,0,0,0,1
__label__45-54,1,11,0,0,1,0,0,0,0,0,0,0,3
__label__18-24,0,0,1,0,0,0,0,0,1,0,0,1,2
__label__25-34,0,1,0,0,0,0,0,0,0,0,1,0,1
__label__55+,0,1,1,0,0,1,0,0,0,0,0,1,1
__label__18-24,2,5,0,1,4,0,0,1,1,0,4,3,5
__label__35-44,0,21,5,1,3,0,0,0,0,0,0,0,5
__label__18-24,1,1,5,0,0,0,0,0,0,1,1,0,4
__label__35-44,0,31,27,8,2,7,0,0,0,0,1,0,5
__label__18-24,0,2,0,0,0,0,0,0,0,0,0,0,1
__label__45-54,1,2,1,0,0,0,0,0,0,0,0,0,2
__label__45-54,0,6,3,0,0,0,0,0,0,0,0,0,0
__label__18-24,0,1,4,0,4,0,0,0,0,0,0,0,3
__label__25-34,0,11,4,0,2,4,0,0,0,0,0,0,8
__label__25-34,0,1,2,4,3,3,0,1,0,0,0,0,2
__label__45-54,0,2,1,0,0,0,0,0,0,0,0,0,0
__label__25-34,0,1,2,0,1,0,0,0,0,0,0,0,0
__label__35-44,0,1,1,1,0,0,0,0,0,0,0,0,2
__label__55+,0,10,5,1,2,0,0,2,0,1,0,0,10
__label__25-34,0,3,1,0,2,0,0,0,1,1,0,0,0
__label__25-34,0,54,21,0,1,2,0,1,0,18,0,0,12
__label__35-44,0,6,3,0,1,0,1,0,0,0,0,0,7
__label__55+,0,0,2,0,1,0,0,0,0,0,0,0,0
__label__45-54,0,0,0,0,1,0,0,0,0,0,0,0,1
__label__55+,0,2,5,2,0,0,0,0,0,0,0,0,5
__label__25-34,0,67,18,3,4,2,0,1,0,2,1,1,31
